date,CPIAUCSL,inflation_mom,inflation_yoy
2015-01-01,234.747,,
2015-02-01,235.342,0.25346436802173855,
2015-03-01,235.976,0.26939517808124425,
2015-04-01,236.222,0.10424788961589382,
2015-05-01,237.001,0.3297745341246827,
2015-06-01,237.657,0.27679208104607333,
2015-07-01,238.034,0.15863197801873063,
2015-08-01,238.033,-0.000420108051790713,
2015-09-01,237.498,-0.22475875193775918,
2015-10-01,237.733,0.09894820166906904,
2015-11-01,238.017,0.11946174910508756,
2015-12-01,237.761,-0.10755534268560574,
2016-01-01,237.652,-0.04584435630738959,1.2375025026943876
2016-02-01,237.336,-0.13296753235823022,0.8472775790126619
2016-03-01,238.08,0.31347962382444194,0.8916160965521946
2016-04-01,238.992,0.38306451612901693,1.1726257503534843
2016-05-01,239.557,0.23640958693178504,1.0784764621246223
2016-06-01,240.222,0.2775957287827202,1.0792865347959424
2016-07-01,240.101,-0.05037007434789409,0.8683633430518256
2016-08-01,240.545,0.18492217858316895,1.0553158595656864
2016-09-01,241.176,0.26232097944252075,1.5486446201652182
2016-10-01,241.741,0.23426874979268764,1.685924966243646
2016-11-01,242.026,0.11789477167711837,1.6843334719788938
2016-12-01,242.637,0.2524522158776188,2.0507989115119862
2017-01-01,243.618,0.4043076694815628,2.5103933482571117
2017-02-01,244.006,0.15926573570097524,2.8103616813294208
2017-03-01,243.892,-0.04672016261895173,2.44119623655914
2017-04-01,244.193,0.12341528217407749,2.176223471915395
2017-05-01,244.004,-0.07739779600562935,1.8563431667619756
2017-06-01,244.163,0.0651628661825221,1.640565809959127
2017-07-01,244.243,0.03276499715354486,1.7251073506566073
2017-08-01,245.183,0.38486261632881824,1.92812155729698
2017-09-01,246.435,0.5106389920997767,2.1805652303711787
2017-10-01,246.626,0.07750522450138408,2.020757753132485
2017-11-01,247.284,0.2668007428251684,2.172493864295566
2017-12-01,247.805,0.21068892447551058,2.129930719552253
2018-01-01,248.859,0.42533443635115464,2.151318868063945
2018-02-01,249.529,0.26922876006090224,2.263468931091861
2018-03-01,249.577,0.0192362410782021,2.3309497646499366
