date,btc_close,btc_marketcap,gold_price,sp500_price,CPIAUCSL,inflation_mom,inflation_yoy,log_btc,log_gold,log_sp500,log_cpi,dlog_btc,dlog_gold,dlog_sp500,dlog_cpi,dinf_yoy
2015-01-01,217.4640045166,2997692310.6,1250.75,1994.99,234.747,,,5.3820333403572835,7.131498650368314,7.598394316780073,5.458508338453997,,,,,
2015-02-01,254.2630004883,3531776635.75,1227.08,2104.5,235.342,0.2534643680217385,,5.538369166318783,7.112392642259507,7.651833188210626,5.4610397753424955,0.15633582596149953,-0.019106008108807693,0.05343887143055248,0.0025314368884981064,
2015-03-01,244.2239990234,3420112896.0,1178.63,2067.89,235.976,0.2693951780812442,,5.498085832946924,7.072108026008257,7.63428404272424,5.463730104939077,-0.04028333337185863,-0.040284616251249794,-0.01754914548638542,0.0026903295965814422,
2015-04-01,236.1450042725,3332094504.38,1198.93,2085.51,236.222,0.1042478896158938,,5.464446041227399,7.089184771338233,7.64276870863869,5.464772040831459,-0.03363979171952547,0.01707674532997583,0.008484665914449963,0.0010419358923821065,
2015-05-01,230.1900024414,3273756425.25,1198.63,2107.39,237.001,0.3297745341246827,,5.438905065463705,7.088934516911594,7.65320549397053,5.468064360535513,-0.025540975763694185,-0.00025025442663917374,0.010436785331839893,0.0032923197040535257,
2015-06-01,263.0719909668,3770229521.6,1181.5,2063.11,237.657,0.2767920810460733,,5.572427724632354,7.074540096626962,7.631969832056943,5.470828457707228,0.13352265916864958,-0.014394420284631337,-0.021235661913586945,0.0027640971717151075,
2015-07-01,284.6499938965,4112089481.25,1128.31,2103.84,238.034,0.1586319780187306,,5.651260333954969,7.0284762169962,7.651519525338609,5.472413520611222,0.07883260932261482,-0.046063879630762194,0.019549693281665448,0.0015850629039944053,
2015-08-01,230.0559997559,3349845416.0,1117.93,1972.18,238.033,-0.0004201080517907,,5.438322756486998,7.019234039948046,7.586894808887474,5.472409319521879,-0.21293757746797137,-0.009242177048154332,-0.06462471645113421,-4.2010893430699525e-06,
2015-09-01,236.0599975586,3463625759.0,1124.77,1920.03,237.498,-0.2247587519377591,,5.464085999658637,7.025333849292462,7.5600960898997585,5.470159202386607,0.025763243171638806,0.006099809344416229,-0.026798718987715908,-0.0022501171352722338,
2015-10-01,314.1659851074,4645486246.35,1159.25,2079.36,237.733,0.098948201669069,,5.749921461232287,7.05552852327157,7.639815433040681,5.471148195188653,0.28583546157365003,0.03019467397910791,0.07971934314092266,0.00098899280204634,
2015-11-01,377.3210144043,5623195996.95,1086.44,2080.41,238.017,0.1194617491050875,,5.933096322223655,6.990661574977886,7.6403202686552945,5.472342099692004,0.18317486099136815,-0.06486694829368389,0.0005048356146133415,0.0011939045033511064,
2015-12-01,430.566986084,6471217490.68,1075.74,2043.94,237.761,-0.1075553426856057,,6.065102912422956,6.980764075835391,7.622634596685315,5.471265967442488,0.1320065901993015,-0.009897499142494937,-0.01768567196997939,-0.001076132249516526,
2016-01-01,368.766998291,5587253351.23,1097.91,1940.24,237.652,-0.0458443563073895,1.2375025026943876,5.910165003651931,7.001163651496865,7.570566955745964,5.4708074187620355,-0.15493790877102498,0.020399575661474323,-0.052067640939351456,-0.00045854868045225317,
2016-02-01,437.6969909668,6681444705.0,1199.5,1932.23,237.336,-0.1329675323582302,0.8472775790126619,6.081526869525744,7.0896600822797495,7.566430055305905,5.469476858635799,0.17136186587381275,0.08849643078288416,-0.004136900440058433,-0.0013305601262363353,-0.3902249236817257
2016-03-01,416.7290039063,6409062819.05,1245.14,2059.74,238.08,0.3134796238244419,0.8916160965521946,6.032436139812991,7.127003252376,7.630335040225788,5.472606751644727,-0.04909072971275297,0.037343170096250766,0.0639049849198825,0.003129893008927631,0.044338517539532774
2016-04-01,448.3179931641,6944860514.15,1242.26,2065.3,238.992,0.3830645161290169,1.1726257503534845,6.105502786791594,7.124687580359468,7.633030773293604,5.476430078567937,0.07306664697860299,-0.0023156720165324884,0.0026957330678163416,0.0038233269232099687,0.28100965380128984
2016-05-01,531.3859863281,8293035755.05,1260.95,2096.96,239.557,0.236409586931785,1.0784764621246223,6.275488661747463,7.139620684108216,7.648243955851132,5.478791384359091,0.16998587495586914,0.014933103748748344,0.015213182557528349,0.0023613057911546775,-0.09414928822886215
2016-06-01,673.3369750977,10583527799.4,1276.4,2098.86,240.222,0.2775957287827202,1.0792865347959424,6.512245910273455,7.151798894404089,7.649149619168371,5.481563495793126,0.23675724852599167,0.012178210295872738,0.0009056633172388473,0.002772111434034663,0.0008100726713200501
2016-07-01,624.6810302734,9861866432.96,1336.66,2173.6,240.101,-0.050370074347894,0.8683633430518256,6.437241167900157,7.197929244088895,7.6841400581121375,5.481059668149813,-0.0750047423732978,0.04613034968480623,0.0349904389437663,-0.0005038276433131372,-0.21092319174411678
2016-08-01,575.4719848633,9117106216.7,1340.17,2170.95,240.545,0.1849221785831689,1.0553158595656864,6.355190547330303,7.20055175056983,7.682920138751723,5.482907182229998,-0.0820506205698539,0.002622506480935094,-0.0012199193604143233,0.0018475140801852419,0.1869525165138608
2016-09-01,609.7349853516,9693198750.06,1326.61,2168.27,241.176,0.2623209794425207,1.5486446201652182,6.413024412523229,7.190382095130284,7.681684893550618,5.485526957414767,0.05783386519292577,-0.01016965543954651,-0.001235245201105073,0.0026197751847689688,0.4933287605995318
