date,btc_close,btc_marketcap,gold_price,sp500_price,CPIAUCSL,inflation_mom,inflation_yoy,log_btc,log_gold,log_sp500,log_cpi,btc_return,gold_return,sp500_return,cpi_return,btc_index,gold_index,sp500_index
2015-01-01,217.4640045166,2997692310.6,1250.75,1994.99,234.747,,,5.3820333403572835,7.131498650368314,7.598394316780073,5.458508338453997,,,,,100.0,100.0,100.0
2015-02-01,254.2630004883,3531776635.75,1227.08,2104.5,235.342,0.2534643680217385,,5.538369166318783,7.112392642259507,7.651833188210626,5.4610397753424955,15.633582596149953,-1.9106008108807693,5.343887143055248,0.25314368884981064,116.92187911902955,98.10753547871278,105.48925057268457
2015-03-01,244.2239990234,3420112896.0,1178.63,2067.89,235.976,0.2693951780812442,,5.498085832946924,7.072108026008257,7.63428404272424,5.463730104939077,-4.028333337185863,-4.028461625124979,-1.754914548638542,0.2690329596581442,112.30548226419572,94.2338596841895,103.65415365490553
2015-04-01,236.1450042725,3332094504.38,1198.93,2085.51,236.222,0.1042478896158938,,5.464446041227399,7.089184771338233,7.64276870863869,5.464772040831459,-3.363979171952547,1.7076745329975829,0.8484665914449963,0.10419358923821065,108.5903870837962,95.85688586847891,104.53736610208573
2015-05-01,230.1900024414,3273756425.25,1198.63,2107.39,237.001,0.3297745341246827,,5.438905065463705,7.088934516911594,7.65320549397053,5.468064360535513,-2.5540975763694185,-0.025025442663917374,1.0436785331839893,0.32923197040535257,105.8520020143511,95.8329002598441,105.63411345420278
2015-06-01,263.0719909668,3770229521.6,1181.5,2063.11,237.657,0.2767920810460733,,5.572427724632354,7.074540096626962,7.631969832056943,5.470828457707228,13.352265916864958,-1.4394420284631337,-2.1235661913586945,0.27640971717151075,120.97266007382778,94.46332200679592,103.41455345640831
2015-07-01,284.6499938965,4112089481.25,1128.31,2103.84,238.034,0.1586319780187306,,5.651260333954969,7.0284762169962,7.651519525338609,5.472413520611222,7.883260932261482,-4.6063879630762194,1.9549693281665448,0.15850629039944053,130.89522311025564,90.2106735958425,105.45616770008873
2015-08-01,230.0559997559,3349845416.0,1117.93,1972.18,238.033,-0.0004201080517907,,5.438322756486998,7.019234039948046,7.586894808887474,5.472409319521879,-21.293757746797137,-0.9242177048154332,-6.462471645113421,-0.00042010893430699525,105.7903813862394,89.38077153707776,98.85663587286152
2015-09-01,236.0599975586,3463625759.0,1124.77,1920.03,237.498,-0.2247587519377591,,5.464085999658637,7.025333849292462,7.5600960898997585,5.470159202386607,2.5763243171638806,0.6099809344416229,-2.679871898771591,-0.22501171352722338,108.55129706791567,89.92764341395163,96.24258768214376
2015-10-01,314.1659851074,4645486246.35,1159.25,2079.36,237.733,0.098948201669069,,5.749921461232287,7.05552852327157,7.639815433040681,5.471148195188653,28.583546157365003,3.019467397910791,7.971934314092266,0.09889928020463401,144.46804003529618,92.68438936638017,104.22909388016983
2015-11-01,377.3210144043,5623195996.95,1086.44,2080.41,238.017,0.1194617491050875,,5.933096322223655,6.990661574977886,7.6403202686552945,5.472342099692004,18.317486099136815,-6.486694829368389,0.05048356146133415,0.11939045033511064,173.50964139699607,86.86308215070959,104.28172572293595
2015-12-01,430.566986084,6471217490.68,1075.74,2043.94,237.761,-0.1075553426856057,,6.065102912422956,6.980764075835391,7.622634596685315,5.471265967442488,13.20065901993015,-0.9897499142494937,-1.7685671969979389,-0.1076132249516526,197.99460009076256,86.00759544273437,102.45364638419241
2016-01-01,368.766998291,5587253351.23,1097.91,1940.24,237.652,-0.0458443563073895,1.2375025026943876,5.910165003651931,7.001163651496865,7.570566955745964,5.4708074187620355,-15.493790877102498,2.0399575661474323,-5.206764093935146,-0.04585486804522532,169.57610943968905,87.7801319208475,97.25562534148041
2016-02-01,437.6969909668,6681444705.0,1199.5,1932.23,237.336,-0.1329675323582302,0.8472775790126619,6.081526869525744,7.0896600822797495,7.566430055305905,5.469476858635799,17.136186587381275,8.849643078288416,-0.4136900440058433,-0.13305601262363353,201.2733058695186,95.90245852488508,96.85411956952166
2016-03-01,416.7290039063,6409062819.05,1245.14,2059.74,238.08,0.3134796238244419,0.8916160965521946,6.032436139812991,7.127003252376,7.630335040225788,5.472606751644727,-4.909072971275297,3.7343170096250766,6.39049849198825,0.3129893008927631,191.6312563233835,99.55146911852889,103.2456303039113
2016-04-01,448.3179931641,6944860514.15,1242.26,2065.3,238.992,0.3830645161290169,1.1726257503534845,6.105502786791594,7.124687580359468,7.633030773293604,5.476430078567937,7.306664697860299,-0.23156720165324884,0.26957330678163416,0.38233269232099687,206.15733355994456,99.32120727563462,103.52432844274911
2016-05-01,531.3859863281,8293035755.05,1260.95,2096.96,239.557,0.236409586931785,1.0784764621246223,6.275488661747463,7.139620684108216,7.648243955851132,5.478791384359091,16.998587495586914,1.4933103748748344,1.5213182557528349,0.23613057911546775,244.35583604252855,100.81551069358386,105.11130381605922
2016-06-01,673.3369750977,10583527799.4,1276.4,2098.86,240.222,0.2775957287827202,1.0792865347959424,6.512245910273455,7.151798894404089,7.649149619168371,5.481563495793126,23.675724852599167,1.2178210295872738,0.09056633172388473,0.2772111434034663,309.63146135125146,102.05076953827702,105.20654238868366
2016-07-01,624.6810302734,9861866432.96,1336.66,2173.6,240.101,-0.050370074347894,0.8683633430518256,6.437241167900157,7.197929244088895,7.6841400581121375,5.481059668149813,-7.5004742373297795,4.613034968480623,3.49904389437663,-0.05038276433131372,287.2572091468661,106.86867879272437,108.95292708234126
2016-08-01,575.4719848633,9117106216.7,1340.17,2170.95,240.545,0.1849221785831689,1.0553158595656864,6.355190547330303,7.20055175056983,7.682920138751723,5.482907182229998,-8.20506205698539,0.2622506480935094,-0.12199193604143233,0.1847514080185242,264.6286157299985,107.14931041375175,108.82009433631245
2016-09-01,609.7349853516,9693198750.06,1326.61,2168.27,241.176,0.2623209794425207,1.5486446201652182,6.413024412523229,7.190382095130284,7.681684893550618,5.485526957414767,5.783386519292577,-1.016965543954651,-0.1235245201105073,0.2619775184768969,280.3843269174491,106.06516090345792,108.68575782334749
2016-10-01,700.9719848633,11181852070.1,1266.55,2126.15,241.741,0.2342687497926876,1.685924966243646,6.552467921704318,7.144051947541259,7.6620681114459295,5.487866905098523,13.944350918108928,-4.633014758902476,-1.9616782104688646,0.2339947683755561,322.3393160727856,101.26324205476713,106.57446904495762
2016-11-01,745.6909790039,11943536630.3,1238.35,2198.81,242.026,0.1178947716771183,1.6843334719788938,6.614311277123619,7.121535127343381,7.695671583911401,5.489045158402165,6.184335541930075,-2.251682019787804,3.3603472465471462,0.1178253303642407,342.90317639532753,99.00859484309413,110.21659256437376
2016-12-01,963.742980957,15492554222.2,1157.36,2238.83,242.637,0.2524522158776188,2.0507989115119862,6.870824641797321,7.053896828321335,7.713708686963158,5.491566499307847,25.65133646737019,-6.763829902204588,1.8037103051756986,0.25213409056821234,443.1735647926198,92.53328003198081,112.22261765723135
